bike,start_time,end_time,start_station,end_station
474_23,00:05.5,15:25.4,474,369
e_3167_0,00:11.1,10:11.1,3167,173
e_3370_0,00:13.5,07:16.7,3370,3325
e_229_0,00:20.2,05:40.3,229,497
e_3224_0,00:21.6,07:13.2,3224,3263
e_3223_0,00:22.9,03:06.7,3223,3155
e_369_0,00:24.0,10:11.9,369,2010
e_3178_0,00:27.7,04:46.2,3178,3175
e_348_0,00:28.7,07:48.8,348,432
3231_19,00:32.3,05:26.6,3231,522
3226_21,00:38.6,09:52.0,3226,457
e_460_0,00:39.1,08:39.0,460,397
3002_11,00:45.3,10:05.0,3002,328
459_23,00:59.2,05:28.1,459,470
363_23,01:15.4,13:57.8,363,3427
319_15,01:17.0,15:08.8,319,439
3260_15,01:20.3,09:07.0,3260,438
499_17,01:26.1,13:18.4,499,3301
315_13,01:38.8,04:05.2,315,415
e_518_0,01:44.4,11:45.1,518,411
e_497_0,01:44.5,19:10.2,497,3175
e_511_0,01:52.9,05:35.5,511,432
3002_10,01:54.9,05:24.4,3002,426
e_345_0,01:58.5,06:09.9,345,236
3124_13,02:02.1,22:33.9,3124,3223
3143_23,02:14.3,15:26.6,3143,499
e_426_0,02:15.2,10:16.1,426,332
523_25,02:16.2,11:13.8,523,3165
e_3157_0,02:20.2,08:06.5,3157,3141
3383_11,02:22.7,17:54.8,3383,3168
e_359_0,02:22.9,11:22.1,359,474
426_13,02:24.8,14:35.3,426,128
368_19,02:29.3,12:08.3,368,3472
3454_11,02:31.8,05:47.8,3454,471
174_14,02:40.3,13:32.8,174,505
e_281_0,03:03.0,09:05.6,281,484
e_380_0,03:03.8,10:13.0,380,151
e_3404_0,03:19.1,30:52.8,3404,3428
3142_19,03:24.6,19:19.3,3142,3130
348_14,03:28.8,09:20.6,348,473
e_120_0,03:29.5,13:54.1,120,414
e_441_0,03:41.5,09:31.7,441,3233
446_19,03:47.7,10:35.1,446,526
e_3164_0,04:30.2,10:01.1,3164,457
361_21,04:32.2,23:05.4,361,345
e_3244_0,04:33.2,07:39.7,3244,127
3235_15,04:36.9,13:22.9,3235,3236
72_19,04:50.8,12:57.6,72,490
466_17,04:52.7,21:23.0,466,386
e_295_0,04:58.0,08:40.5,295,531
e_267_0,04:58.1,08:34.6,267,3443
e_346_0,04:58.8,29:54.3,346,3016
e_254_0,05:11.8,18:53.6,254,479
e_3170_0,05:22.1,07:53.0,3170,3164
501_21,05:22.3,21:05.9,501,433
e_281_1,05:24.8,12:19.7,281,3168
e_349_0,05:27.6,15:27.9,349,348
e_3336_0,05:33.0,13:13.7,3336,3170
e_465_0,05:33.0,10:27.7,465,3443
514_25,05:38.2,37:24.4,514,496
e_455_0,05:42.6,07:03.7,455,516
e_3144_0,05:47.8,12:45.4,3144,3443
116_14,05:52.7,14:16.9,116,368
496_23,06:09.6,24:13.8,496,306
e_242_0,06:13.1,16:38.4,242,289
e_492_0,06:21.4,13:51.2,492,536
e_517_0,06:33.0,19:18.3,517,304
e_3356_0,06:40.5,17:15.1,3356,459
391_15,06:46.7,09:53.6,391,216
539_15,07:08.1,12:09.9,539,3077
513_13,07:22.3,15:50.9,513,267
e_3163_0,07:28.5,13:33.3,3163,3137
3233_19,07:28.7,17:52.9,3233,449
494_17,07:32.8,27:54.4,494,3435
e_195_0,07:35.4,09:49.8,195,415
e_394_0,07:36.2,13:15.7,394,403
3416_14,07:57.2,14:18.9,3416,3297
3360_11,08:01.5,43:54.6,3360,128
e_3055_0,08:12.5,10:22.0,3055,344
e_357_0,08:14.4,11:15.4,357,345
e_2006_0,08:19.5,12:57.3,2006,3163
e_417_0,08:20.6,19:43.5,417,229
239_15,08:21.9,13:36.8,239,366
3288_19,08:23.7,10:44.1,3288,3286
e_3223_1,08:24.6,18:42.4,3223,479
e_3064_0,08:27.4,10:09.5,3064,3063
e_507_0,08:33.2,13:49.5,507,161
267_27,08:40.7,13:01.0,267,478
526_19,08:44.4,25:38.9,526,307
e_505_0,08:54.9,12:17.1,505,519
386_21,09:00.0,14:08.5,386,195
e_402_0,09:09.1,13:40.1,402,335
3319_9,09:09.2,15:31.4,3319,3364
e_3096_0,09:13.9,22:45.4,3096,243
430_14,09:27.4,18:41.5,430,391
3143_22,09:42.9,23:56.6,3143,173
e_427_0,09:44.7,29:19.8,427,388
e_3062_0,09:46.1,14:25.3,3062,3067
e_3173_0,09:49.2,20:35.4,3173,334
516_15,09:51.0,26:54.9,516,497
e_3233_0,09:55.3,14:06.5,3233,450
354_11,09:55.8,13:54.3,354,258
e_3116_0,09:58.3,17:19.2,3116,3430
e_285_0,10:03.2,14:02.3,285,470
e_509_0,10:06.2,22:02.7,509,339
293_27,10:09.4,15:43.9,293,280
3320_23,10:17.1,30:18.7,3320,173
358_17,10:22.4,17:00.4,358,276
3236_15,10:32.5,17:36.2,3236,530
e_2009_0,10:34.5,12:36.5,2009,376
e_327_0,10:37.7,40:42.7,327,519
146_19,10:45.0,25:49.7,146,534
3180_15,10:55.2,27:40.1,3180,2002
e_410_0,11:01.6,14:39.8,410,502
485_19,11:07.8,15:21.0,485,486
3083_14,11:08.9,16:39.0,3083,3087
e_3286_0,11:16.1,15:06.5,3286,3351
e_509_1,11:18.5,13:46.0,509,446
e_479_0,11:21.1,14:29.5,479,465
519_29,11:26.2,23:52.3,519,3255
3115_16,11:33.1,25:41.8,3115,3221
432_15,11:33.9,16:06.1,432,312
e_3295_0,11:36.4,19:06.4,3295,3175
3163_21,11:39.3,22:28.1,3163,3293
e_438_0,11:39.9,21:01.3,438,3472
3409_17,11:42.1,18:51.7,3409,430
e_3120_0,11:42.6,18:03.3,3120,3113
e_3314_0,11:44.3,17:28.4,3314,3167
e_153_0,11:48.2,15:08.3,153,402
e_3002_0,11:58.5,21:16.5,3002,127
501_20,11:59.7,27:25.6,501,128
e_313_0,12:01.8,20:17.7,313,430
e_411_0,12:14.8,20:20.1,411,466
296_17,12:20.8,33:28.5,296,529
e_519_0,12:26.3,26:03.6,519,3314
3276_12,12:33.9,16:00.2,3276,3185
e_3345_0,12:34.1,22:36.3,3345,3147
497_29,12:36.9,17:01.1,497,161
267_26,12:39.8,16:09.6,267,466
e_382_0,12:43.4,18:41.1,382,438
368_18,12:44.8,58:36.1,368,3166
e_168_0,12:56.0,31:00.1,168,3294
e_528_0,13:04.3,18:30.0,528,492
503_13,13:07.8,22:00.5,503,3224
3102_13,13:21.5,19:50.7,3102,3117
e_3311_0,13:43.5,24:16.9,3311,3180
259_19,13:45.6,37:24.6,259,3423
252_15,14:14.7,34:07.5,252,355
3435_21,14:20.7,26:34.6,3435,519
497_28,14:22.1,29:22.8,497,514
3273_8,14:22.9,57:21.2,3273,3211
167_21,14:26.7,21:21.9,167,498
e_3430_0,14:43.5,16:53.3,3430,3086
e_428_0,14:46.6,19:36.1,428,3435
e_301_0,14:50.3,21:45.7,301,296
397_13,14:51.6,25:39.5,397,3048
495_11,14:55.7,20:41.0,495,173
e_3086_0,15:02.7,17:20.6,3086,3430
3134_25,15:02.9,28:52.8,3134,3164
3348_9,15:10.1,32:17.6,3348,323
3365_13,15:15.0,21:12.0,3365,3418
e_312_0,15:15.8,23:30.4,312,3002
e_3315_0,15:39.1,19:53.3,3315,406
3120_9,15:55.4,21:50.2,3120,3126
e_500_0,16:02.9,16:58.3,500,3443
e_395_0,16:07.1,21:24.0,395,2000
3462_19,16:08.0,32:30.3,3462,335
484_21,16:15.9,20:50.5,484,518
3235_14,16:19.9,30:08.3,3235,3400
e_3107_0,16:22.3,20:56.2,3107,3093
495_10,16:25.6,20:51.0,495,422
e_438_1,16:44.9,20:40.1,438,3244
e_3415_0,16:48.8,25:41.1,3415,2000
347_17,16:50.2,30:52.2,347,3002
e_508_0,16:52.3,22:03.5,508,490
e_285_1,17:02.6,21:02.8,285,438
e_3168_0,17:09.3,22:04.7,3168,3356
386_21,17:10.6,33:21.9,195,3256
3339_11,17:13.9,38:02.9,3339,417
3324_11,17:19.4,44:39.2,3324,3249
e_386_0,17:20.1,20:37.0,386,257
e_495_0,17:21.7,34:12.7,495,348
459_22,17:42.1,30:10.4,459,503
3243_13,17:46.3,19:59.9,3243,2022
363_22,18:01.7,33:33.0,363,482
387_19,18:12.0,22:05.7,387,279
347_16,18:14.8,40:33.0,347,519
317_13,18:15.3,33:03.3,317,465
e_362_0,18:24.5,19:34.5,362,498
e_167_0,18:33.9,29:31.7,167,116
361_20,18:37.7,29:25.6,361,302
454_17,18:50.8,29:42.1,454,72
3107_19,19:02.6,22:50.4,3107,3103
406_16,19:20.7,44:15.7,406,3365
315_13,19:31.8,23:40.8,415,306
e_254_1,19:38.4,33:01.3,254,499
3143_23,19:40.8,33:17.3,499,3226
e_406_0,19:42.9,23:22.2,406,3311
497_29,19:47.0,26:15.9,161,268
308_13,19:49.8,21:44.4,308,355
444_14,19:49.9,27:21.2,444,2006
3329_13,19:57.0,31:37.0,3329,2000
e_386_1,19:58.2,33:07.5,386,217
e_3410_0,20:01.8,22:17.6,3410,467
e_153_1,20:03.9,26:08.1,153,497
3418_15,20:10.4,23:39.2,3418,3358
e_306_0,20:14.7,27:02.6,306,349
e_3353_0,20:24.0,26:32.9,3353,3402
e_3180_0,20:34.7,29:26.8,3180,398
e_530_0,20:44.4,36:57.7,530,426
82_13,20:46.1,27:27.6,82,3435
e_365_0,20:46.8,30:09.3,365,3077
3353_14,20:58.2,24:14.5,3353,3344
481_11,21:04.9,31:04.0,481,3095
e_3142_0,21:08.0,25:44.9,3142,3151
3002_9,21:12.8,38:28.4,3002,303
3065_13,21:15.3,36:17.3,3065,3096
539_14,21:15.6,25:31.7,539,282
e_523_0,21:19.6,26:31.7,523,530
e_83_0,21:31.4,26:23.3,83,365
301_17,21:39.2,33:07.4,301,539
3256_10,21:43.0,38:47.7,3256,315
315_12,21:45.9,41:37.7,315,503
e_157_0,21:47.4,26:22.6,157,3321
3002_8,21:58.2,33:08.4,3002,315
3365_12,22:00.0,27:47.4,3365,3373
e_3232_0,22:03.7,27:39.2,3232,407
e_285_2,22:32.1,25:31.3,285,3224
e_353_0,22:36.7,27:11.4,353,3346
152_14,22:41.4,24:16.5,152,309
116_14,22:54.6,28:09.1,368,377
e_388_0,22:54.7,32:01.7,388,152
e_474_0,22:56.6,27:10.5,474,3466
151_15,22:56.6,35:36.8,151,284
254_15,22:57.7,26:57.0,254,482
3282_18,22:57.8,35:05.6,3282,3137
268_13,22:58.5,27:43.1,268,336
e_356_0,23:00.1,31:14.2,356,351
320_13,23:09.5,29:40.5,320,224
523_25,23:15.3,29:27.9,3165,281
479_15,23:29.0,00:59.0,479,3124
e_3383_0,23:31.9,50:56.1,3383,514
e_3447_0,23:42.9,28:24.2,3447,3305
513_13,23:49.3,38:50.9,267,2006
e_259_0,23:55.1,26:53.3,259,304
380_19,24:29.3,33:21.1,380,325
e_423_0,24:33.5,30:13.2,423,448
e_435_0,25:00.8,29:27.6,435,492
e_3100_0,25:06.5,31:51.5,3100,389
539_13,25:10.5,48:24.5,539,195
195_21,25:26.3,50:37.3,195,453
472_19,25:29.1,36:59.6,472,173
379_20,25:31.2,30:30.1,379,503
3259_13,25:45.2,42:59.0,3259,236
359_25,25:46.1,38:02.5,359,492
e_3336_1,25:47.7,29:35.5,3336,3295
379_19,25:51.4,40:36.9,379,3158
361_19,25:57.1,31:14.1,361,410
3125_11,26:19.2,28:26.3,3125,3124
539_12,26:26.2,34:51.2,539,3073
e_279_0,26:36.5,31:39.9,279,387
143_11,26:39.1,52:21.3,143,435
293_27,26:43.3,34:45.1,280,503
3107_18,26:59.8,32:44.8,3107,3453
e_259_1,27:01.7,42:29.6,259,402
e_347_0,27:02.0,29:39.7,347,3436
468_23,27:05.8,31:31.3,468,173
e_444_0,27:45.0,57:49.2,444,258
334_15,28:01.5,50:03.0,334,417
491_25,28:01.7,35:47.7,491,379
459_23,28:05.0,34:19.0,470,523
361_21,28:05.4,35:43.8,345,505
3016_23,28:12.1,35:44.3,3016,532
3164_33,28:12.5,45:54.2,3164,3258
3378_13,28:30.5,33:06.8,3378,3141
402_19,28:32.3,37:14.0,402,432
3202_8,28:32.5,59:16.2,3202,3187
e_322_0,28:42.1,39:55.6,322,435
3435_21,29:31.9,36:12.0,519,540
254_14,29:35.2,36:35.4,254,293
509_17,29:40.8,41:31.7,509,478
497_28,29:47.1,48:51.5,514,3256
3235_15,29:47.5,45:12.4,3236,334
3429_19,29:58.8,45:23.2,3429,282
540_14,30:13.6,35:26.1,540,461
e_3203_0,30:16.1,10:31.6,3203,3183
e_302_0,30:16.2,40:46.1,302,307
e_412_0,30:19.7,36:07.0,412,438
e_499_0,30:21.2,41:16.0,499,3323
3467_20,30:22.2,37:39.0,3467,168
3186_20,30:29.2,26:39.0,3186,3203
e_164_0,30:30.2,31:58.1,164,359
308_12,30:35.2,47:23.6,308,302
e_237_0,30:40.9,35:31.5,237,254
e_398_0,30:41.0,41:21.3,398,309
e_116_0,30:42.6,37:12.1,116,252
e_3236_0,30:50.0,34:01.4,3236,498
340_13,30:53.2,40:03.2,340,3427
3263_29,30:57.7,39:59.3,3263,394
e_3075_0,31:03.0,33:44.2,3075,282
303_15,31:13.0,37:19.6,303,161
e_458_0,31:15.1,44:24.1,458,426
501_20,31:40.2,54:27.9,128,514
361_19,31:41.7,05:22.6,410,3223
387_18,31:42.3,38:45.3,387,2009
e_305_0,31:54.6,34:55.9,305,3132
268_13,32:02.3,49:49.7,336,445
285_25,32:12.6,41:22.1,285,394
e_545_0,32:18.1,46:31.5,545,457
e_309_0,32:25.5,33:37.7,309,327
3431_11,32:27.0,40:21.0,3431,164
495_9,32:28.7,47:52.2,495,403
e_3282_0,32:31.7,38:56.8,3282,2006
3285_21,32:35.4,43:26.9,3285,3383
285_24,32:36.8,41:02.5,285,308
229_11,32:37.6,08:39.8,229,3349
e_2021_0,32:55.1,39:53.8,2021,3167
3336_19,33:04.7,53:48.1,3336,3134
347_17,33:07.2,37:05.0,3002,264
e_336_0,33:08.3,35:51.5,336,229
e_402_1,33:13.0,35:49.0,402,168
410_17,33:15.8,45:11.1,410,2002
e_527_0,33:18.9,52:02.9,527,3336
396_11,33:23.8,49:43.1,396,3074
348_13,33:42.7,45:25.0,348,426
e_3362_0,33:49.3,42:01.2,3362,457
368_17,34:01.8,40:27.6,368,3428
470_18,34:07.3,48:29.7,470,432
3203_12,34:13.0,37:14.7,3203,3186
462_23,34:41.6,44:18.5,462,491
458_15,34:45.0,56:57.6,458,276
259_18,34:48.2,59:21.1,259,332
72_19,34:50.1,49:32.1,490,3132
e_417_0,34:53.7,42:20.8,229,320
3143_21,35:12.8,43:50.5,3143,3284
e_3163_1,35:18.6,39:59.4,3163,3165
e_3435_0,35:33.2,46:15.1,3435,532
3428_14,35:35.3,49:15.1,3428,325
e_455_1,35:46.9,44:22.8,455,546
e_515_0,36:00.4,40:38.5,515,3158
470_17,36:02.8,52:42.3,470,495
e_525_0,36:10.2,43:46.2,525,358
3140_27,36:13.6,58:28.6,3140,423
e_3369_0,36:13.6,39:12.9,3369,3290
500_25,36:15.1,39:10.3,500,520
e_491_0,36:22.7,38:36.1,491,382
444_13,36:24.7,49:40.7,444,128
e_462_0,36:27.3,49:25.0,462,319
e_243_0,36:28.6,43:11.4,243,3419
317_12,36:41.0,47:08.4,317,151
e_405_0,36:42.3,42:14.3,405,328
3166_19,36:42.6,53:10.2,3166,459
e_223_0,36:42.6,55:39.1,223,242
e_3256_0,36:54.8,50:40.9,3256,72
e_457_0,37:01.9,44:42.5,457,495
e_3137_0,37:23.1,50:40.4,3137,247
3148_15,37:31.4,56:47.5,3148,3173
e_143_0,37:52.8,53:13.3,143,3469
e_312_1,37:56.9,44:58.4,312,487
e_319_0,38:02.1,42:27.7,319,257
386_21,38:11.0,53:44.7,3256,337
e_474_1,38:13.9,42:09.7,474,490
e_2006_1,38:33.2,54:13.5,2006,465
e_330_0,38:41.5,42:28.1,330,260
359_25,39:04.0,59:13.4,492,3131
519_28,39:11.0,49:31.4,519,3136
e_3447_1,39:15.2,49:48.6,3447,3165
e_497_1,39:18.7,46:05.7,497,492
e_116_1,39:23.3,51:27.5,116,3164
e_450_0,39:27.8,42:15.1,450,495
e_427_1,39:30.6,44:08.9,427,417
e_3233_1,39:32.0,44:54.1,3233,385
e_297_0,39:40.1,41:59.0,297,503
346_13,39:50.6,44:31.2,346,470
3016_23,40:00.4,20:42.2,532,455
514_24,40:04.4,55:33.1,514,3256
462_22,40:07.2,48:08.4,462,496
410_16,40:10.4,48:35.5,410,223
e_461_0,40:19.8,49:32.5,461,347
e_3143_0,40:44.2,51:56.4,3143,3323
e_321_0,41:17.8,53:49.2,321,3310
e_393_0,41:22.5,46:46.0,393,461
e_498_0,41:56.5,46:05.3,498,491
e_3509_0,42:04.8,48:06.3,3509,3379
e_497_2,42:21.3,47:32.9,497,472
e_3400_0,42:26.0,50:06.4,3400,3292
e_153_0,42:27.6,45:24.2,402,237
217_19,42:29.3,57:09.8,217,386
303_15,42:32.2,51:35.4,161,297
3134_25,42:40.6,44:49.7,3164,3175
3170_17,42:47.7,03:15.3,3170,540
3384_11,42:59.9,53:47.6,3384,390
e_3057_0,43:15.2,52:01.0,3057,3087
3064_11,43:18.5,03:24.0,3064,384
3282_18,43:19.7,01:03.6,3137,346
e_237_1,43:20.6,47:29.2,237,507
285_23,43:27.9,49:41.7,285,433
285_24,43:32.6,50:59.0,308,502
157_11,43:33.2,49:03.5,157,3389
e_3437_0,43:37.0,53:18.7,3437,3441
e_444_1,43:47.8,51:27.0,444,440
e_472_0,44:08.2,48:00.5,472,485
e_518_1,44:12.4,47:38.3,518,507
e_390_0,44:20.3,52:24.5,390,312
e_342_0,44:27.2,57:23.5,342,501
460_11,44:30.1,06:51.6,460,3232
3002_11,44:32.4,56:53.3,328,427
e_315_0,44:40.3,47:32.1,315,304
127_15,44:40.4,00:35.4,127,315
484_20,44:46.1,57:04.2,484,3126
e_351_0,44:46.1,51:49.2,351,332
e_168_1,45:07.4,57:20.6,168,519
152_14,45:11.8,46:56.1,309,249
e_3152_0,45:18.9,48:45.8,3152,3305
509_16,45:22.7,48:40.6,509,3428
3323_29,45:22.9,09:45.7,3323,514
e_487_0,45:23.6,55:17.1,487,161
3171_19,45:30.4,59:42.1,3171,520
509_17,45:30.7,06:55.2,478,363
e_3223_2,45:34.5,03:49.8,3223,3311
e_3175_0,45:40.3,49:09.0,3175,530
e_351_1,45:41.0,55:48.0,351,3263
e_3108_0,45:43.8,50:59.0,3108,3086
e_390_1,45:49.4,53:39.0,390,531
e_317_0,45:54.0,55:43.6,317,368
e_2008_0,45:54.4,51:22.9,2008,82
3120_8,45:56.3,48:14.1,3120,3119
3136_23,46:11.5,03:35.3,3136,2006
3436_14,46:15.2,03:01.2,3436,2008
347_15,46:16.9,59:09.3,347,507
428_14,46:32.3,57:22.4,428,2010
361_18,46:50.9,09:38.2,361,3260
528_19,46:58.7,56:09.2,528,3463
260_17,47:01.9,50:34.9,260,319
523_25,47:04.2,03:23.1,281,3284
368_16,47:13.6,04:28.9,368,356
3090_15,47:15.1,15:04.6,3090,3053
254_14,47:24.1,57:28.6,293,412
444_12,47:27.3,58:57.3,444,465
e_304_0,47:43.9,09:23.8,304,3360
e_453_0,47:53.9,53:46.7,453,368
3305_19,48:04.0,56:31.7,3305,3336
322_15,48:05.5,56:07.7,322,3298
359_24,48:09.0,56:34.1,359,3136
e_3226_0,48:09.1,59:16.3,3226,2021
e_311_0,48:12.6,52:35.6,311,377
327_19,48:15.0,54:25.1,327,248
e_376_0,48:21.9,01:15.7,376,393
499_16,48:34.0,54:25.9,499,281
3360_11,48:47.0,00:34.1,128,330
e_3214_0,48:47.9,23:55.1,3214,3267
152_13,48:49.7,02:26.9,152,157
434_14,48:57.9,59:10.9,434,265
e_3255_0,49:01.8,55:17.1,3255,3428
e_447_0,49:20.3,59:52.8,447,3173
401_20,49:25.1,55:19.1,401,257
3118_14,49:30.1,55:04.8,3118,3119
e_441_0,49:30.7,57:21.6,3233,507
387_17,49:34.9,14:24.5,387,501
501_19,49:35.5,02:48.8,501,394
388_17,49:36.2,04:11.3,388,2021
212_13,49:43.5,07:44.7,212,309
e_281_2,49:49.2,03:31.3,281,3374
3474_17,50:27.1,14:06.8,3474,3429
260_16,50:58.0,06:38.9,260,430
e_486_0,51:02.8,57:23.5,486,529
3317_11,51:31.2,01:05.5,3317,3409
e_312_0,51:33.4,53:43.6,3002,426
494_17,51:36.4,20:02.4,3435,3141
515_17,51:37.0,01:43.1,515,3356
e_3178_1,51:41.3,53:11.8,3178,3166
e_326_0,51:51.8,54:05.9,326,301
e_229_0,51:54.7,57:19.6,497,2003
285_22,51:58.4,55:59.1,285,237
3002_9,51:58.5,57:18.3,303,312
320_12,52:00.2,54:35.0,320,276
3308_13,52:05.0,56:33.9,3308,157
303_14,52:08.9,04:18.5,303,358
348_13,52:12.1,04:06.3,426,3435
368_15,52:13.4,20:28.7,368,3349
446_18,52:18.6,02:55.5,446,3244
e_3282_0,52:46.7,58:40.3,2006,3282
387_16,52:47.2,06:25.6,387,3263
317_12,52:51.4,53:49.1,151,3427
3383_11,52:53.8,58:31.2,3168,3161
e_382_1,53:00.0,10:48.7,382,426
