stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
519,69954,69978,105,11459,0,2158,61,151496,0.008938035,8
426,59419,59430,3044,9316,0,1613,29,131209,0.007741133,7
497,54794,54818,600,4968,0,1490,59,115180,0.006795446,6
514,49815,49786,986,8681,0,1112,52,109268,0.006446647,6
435,50251,50260,197,5261,0,1296,47,105969,0.006252011,6
459,47787,47807,618,4511,0,1514,49,100723,0.005942505,5
402,39270,39286,4129,16439,0,1025,39,99124,0.005848166,5
490,40986,40986,46,9230,0,1063,59,91248,0.005383494,5
3255,33231,33224,4891,18555,0,1028,19,89901,0.005304023,5
285,42136,42138,87,4862,0,1504,51,89223,0.005264022,5
3002,41447,41433,384,5014,0,1603,25,88278,0.005208269,5
368,41643,41640,355,4232,0,1327,39,87870,0.005184197,5
523,40829,40837,190,5785,0,1063,51,87641,0.005170687,5
293,40615,40587,174,3076,0,1523,55,84452,0.004982541,4
387,39075,39083,395,3889,0,1466,39,82442,0.004863954,4
151,38570,38577,549,4543,0,1357,33,82239,0.004851977,4
2006,36595,36615,0,8851,0,302,49,82061,0.004841475,4
477,35613,35624,290,9647,0,1106,59,81174,0.004789144,4
358,38174,38184,491,4314,0,1175,36,81163,0.004788495,4
284,36841,36831,383,3584,0,1099,30,77639,0.004580584,4
168,36872,36890,274,3374,0,1007,47,77410,0.004567073,4
382,35991,35994,249,3840,0,1229,36,76074,0.004488251,4
229,35407,35412,553,4172,0,1269,23,75544,0.004456982,4
327,35543,35534,884,3560,0,1623,39,75521,0.004455625,4
444,33518,33529,802,7154,0,954,30,75003,0.004425064,4
281,26691,26714,1193,19891,0,313,57,74489,0.004394739,4
3263,34391,34414,90,5006,0,2036,59,73901,0.004360047,4
505,33383,33376,266,4809,0,1005,36,71834,0.004238098,4
3256,33354,33360,349,4636,0,891,22,71699,0.004230133,4
499,30436,30450,16,9399,0,460,36,70301,0.004147653,4
3427,32127,32142,771,3708,0,958,40,68748,0.004056028,4
3435,32087,32104,161,3267,0,1185,45,67619,0.003989419,3
128,31575,31586,271,4094,0,1150,30,67526,0.003983932,3
359,24805,24826,3247,14505,0,815,53,67383,0.003975495,3
379,29855,29858,362,6671,0,979,42,66746,0.003937913,3
432,25188,25186,4534,11608,0,760,31,66516,0.003924344,3
465,30887,30887,95,4482,0,1446,39,66351,0.003914609,3
