bike,start_time,end_time,start_st,end_st
168_23,2017-07-01 07:00:01.135959,2017-07-01 07:06:35.076333,168,503
546_18,2017-07-01 07:00:02.506185,2017-07-01 07:09:39.737983,546,3258
e_430_0,2017-07-01 07:00:12.898114,2017-07-01 07:10:42.870401,430,387
e_519_0,2017-07-01 07:00:14.970248,2017-07-01 07:11:36.106459,519,438
e_540_0,2017-07-01 07:00:35.419533,2017-07-01 07:02:53.478243,540,474
3314_15,2017-07-01 07:00:43.468324,2017-07-01 07:06:41.460840,3314,3357
2006_23,2017-07-01 07:00:49.441316,2017-07-01 07:22:53.920562,2006,3374
422_27,2017-07-01 07:00:49.770436,2017-07-01 07:25:36.691547,422,3286
e_497_0,2017-07-01 07:00:49.988352,2017-07-01 07:13:23.382119,497,514
268_13,2017-07-01 07:00:53.186344,2017-07-01 07:08:12.624114,268,311
e_173_0,2017-07-01 07:00:54.178985,2017-07-01 07:04:20.734539,173,228
503_13,2017-07-01 07:00:55.047773,2017-07-01 07:10:34.714036,503,501
497_29,2017-07-01 07:00:59.398034,2017-07-01 07:07:02.539841,497,3427
479_15,2017-07-01 07:01:01.303824,2017-07-01 07:20:03.525047,479,153
3202_8,2017-07-01 07:01:03.850061,2017-07-01 08:01:10.883192,3202,3186
e_482_0,2017-07-01 07:01:04.241842,2017-07-01 07:05:42.960704,482,293
3428_14,2017-07-01 07:01:08.257898,2017-07-01 07:10:05.356681,3428,285
513_13,2017-07-01 07:01:17.773507,2017-07-01 07:05:24.854684,513,3158
e_3338_0,2017-07-01 07:01:20.626002,2017-07-01 07:02:49.907362,3338,3318
e_545_0,2017-07-01 07:01:21.067676,2017-07-01 07:11:18.013511,545,3243
e_3457_0,2017-07-01 07:01:22.882664,2017-07-01 07:13:50.191442,3457,151
e_3276_0,2017-07-01 07:01:23.609182,2017-07-01 07:28:13.137651,3276,3186
229_11,2017-07-01 07:01:30.561270,2017-07-01 07:10:31.400284,229,433
e_3160_0,2017-07-01 07:01:32.392511,2017-07-01 07:14:09.491482,3160,3137
389_13,2017-07-01 07:01:43.737523,2017-07-01 07:13:57.078646,389,312
e_317_0,2017-07-01 07:02:01.417038,2017-07-01 07:05:48.133065,317,401
e_358_0,2017-07-01 07:02:01.713523,2017-07-01 07:06:13.917124,358,3474
3360_11,2017-07-01 07:02:12.695851,2017-07-01 07:11:56.137454,3360,478
253_1,2017-07-01 07:02:14.053752,2017-07-01 07:13:48.396545,253,151
e_430_1,2017-07-01 07:02:18.325880,2017-07-01 07:06:58.941367,430,144
3183_14,2017-07-01 07:02:23.031169,2017-07-01 08:12:48.920516,3183,3184
e_363_0,2017-07-01 07:02:41.370641,2017-07-01 07:10:02.379211,363,377
368_19,2017-07-01 07:02:48.263960,2017-07-01 07:20:45.386672,368,517
497_28,2017-07-01 07:02:48.266549,2017-07-01 07:08:19.481624,497,284
e_427_0,2017-07-01 07:02:51.948216,2017-07-01 07:08:55.964687,427,306
e_527_0,2017-07-01 07:02:53.594848,2017-07-01 07:10:12.455947,527,2003
3016_23,2017-07-01 07:03:04.969896,2017-07-01 07:17:00.035056,3016,366
265_17,2017-07-01 07:03:22.810048,2017-07-01 07:43:05.622847,265,500
e_388_0,2017-07-01 07:03:26.734623,2017-07-01 07:27:04.914732,388,532
432_15,2017-07-01 07:03:28.446440,2017-07-01 07:15:31.783095,432,532
e_3076_0,2017-07-01 07:03:36.820783,2017-07-01 07:13:57.566399,3076,293
3461_15,2017-07-01 07:04:08.689383,2017-07-01 07:18:27.947663,3461,212
e_453_0,2017-07-01 07:04:20.871389,2017-07-01 07:09:42.808405,453,297
e_3178_0,2017-07-01 07:04:21.826244,2017-07-01 07:13:00.556439,3178,3331
237_19,2017-07-01 07:04:26.271039,2017-07-01 07:07:51.240086,237,432
483_17,2017-07-01 07:04:28.409762,2017-07-01 07:14:53.640646,483,401
448_15,2017-07-01 07:04:36.176995,2017-07-01 07:16:00.406055,448,334
e_426_0,2017-07-01 07:04:36.704671,2017-07-01 07:13:27.138924,426,525
e_361_0,2017-07-01 07:04:38.390447,2017-07-01 07:11:09.241615,361,315
317_13,2017-07-01 07:04:43.364992,2017-07-01 07:19:15.724215,317,537
229_10,2017-07-01 07:04:44.139224,2017-07-01 07:17:37.531650,229,379
e_3431_0,2017-07-01 07:04:49.732517,2017-07-01 07:11:37.952875,3431,435
e_293_0,2017-07-01 07:04:55.118450,2017-07-01 07:11:36.571000,293,540
e_127_0,2017-07-01 07:04:55.517329,2017-07-01 07:08:23.451472,127,348
3403_15,2017-07-01 07:05:05.433002,2017-07-01 07:29:42.902109,3403,3179
3367_19,2017-07-01 07:05:16.318267,2017-07-01 07:26:28.752659,3367,3142
470_18,2017-07-01 07:05:27.664779,2017-07-01 07:14:25.359596,470,448
440_15,2017-07-01 07:05:34.841024,2017-07-01 07:23:20.991061,440,79
e_232_0,2017-07-01 07:05:38.632286,2017-07-01 07:15:46.889403,232,412
e_509_0,2017-07-01 07:05:44.585389,2017-07-01 07:09:31.516965,509,284
312_15,2017-07-01 07:05:44.654729,2017-07-01 07:18:08.538187,312,3436
e_3160_1,2017-07-01 07:06:06.798242,2017-07-01 07:09:32.516284,3160,3165
3255_9,2017-07-01 07:06:08.276669,2017-07-01 07:10:03.720180,3255,3259
e_3136_0,2017-07-01 07:06:09.416583,2017-07-01 07:17:44.021328,3136,3282
426_13,2017-07-01 07:06:11.583918,2017-07-01 07:37:46.540073,426,3166
237_18,2017-07-01 07:06:16.633820,2017-07-01 07:29:55.871838,237,532
e_325_0,2017-07-01 07:06:47.287707,2017-07-01 07:11:27.995803,325,517
e_257_0,2017-07-01 07:06:52.587585,2017-07-01 07:12:42.687164,257,259
e_3344_0,2017-07-01 07:07:16.058644,2017-07-01 07:11:48.915208,3344,398
405_19,2017-07-01 07:07:17.851755,2017-07-01 07:21:11.072185,405,316
3422_9,2017-07-01 07:07:20.013489,2017-07-01 07:13:48.508633,3422,3353
449_14,2017-07-01 07:07:23.155906,2017-07-01 07:16:08.710296,449,3259
e_459_0,2017-07-01 07:07:25.194617,2017-07-01 07:16:46.441441,459,3175
e_3096_0,2017-07-01 07:07:29.530718,2017-07-01 07:13:14.156233,3096,2002
e_249_0,2017-07-01 07:07:33.805296,2017-07-01 07:18:06.263126,249,311
540_14,2017-07-01 07:07:38.697414,2017-07-01 07:16:21.040295,540,385
457_19,2017-07-01 07:07:38.911370,2017-07-01 07:18:36.767897,457,484
3160_19,2017-07-01 07:07:42.084336,2017-07-01 07:21:40.420725,3160,2006
e_3199_0,2017-07-01 07:07:45.157293,2017-07-01 07:30:08.283879,3199,3184
e_238_0,2017-07-01 07:07:58.724329,2017-07-01 07:11:02.664674,238,127
e_3175_0,2017-07-01 07:08:33.795286,2017-07-01 07:10:47.234948,3175,3173
3160_18,2017-07-01 07:08:35.559771,2017-07-01 07:18:32.270278,3160,3314
e_3443_0,2017-07-01 07:08:56.944989,2017-07-01 07:15:53.252146,3443,492
e_3233_0,2017-07-01 07:09:12.470022,2017-07-01 07:17:30.607254,3233,3163
e_321_0,2017-07-01 07:09:12.993834,2017-07-01 07:10:35.794022,321,232
e_504_0,2017-07-01 07:09:21.095727,2017-07-01 07:13:27.901480,504,536
522_25,2017-07-01 07:09:23.641325,2017-07-01 07:20:09.219569,522,477
e_304_0,2017-07-01 07:09:35.516538,2017-07-01 07:14:44.970584,304,308
3285_21,2017-07-01 07:09:51.514471,2017-07-01 07:24:48.053476,3285,3443
341_9,2017-07-01 07:09:54.943698,2017-07-01 07:23:44.859892,341,359
546_17,2017-07-01 07:10:03.727126,2017-07-01 07:45:02.939290,546,532
e_168_0,2017-07-01 07:10:17.051607,2017-07-01 07:17:15.338852,168,526
e_304_1,2017-07-01 07:10:45.200070,2017-07-01 07:24:03.646482,304,3255
513_12,2017-07-01 07:10:45.824264,2017-07-01 07:19:23.841565,513,267
3235_15,2017-07-01 07:10:53.883263,2017-07-01 07:20:34.583990,3235,3443
485_19,2017-07-01 07:10:59.682618,2017-07-01 07:16:46.149060,485,524
3372_19,2017-07-01 07:11:26.106500,2017-07-01 07:27:03.400170,3372,469
e_495_0,2017-07-01 07:11:33.359292,2017-07-01 07:13:46.624690,495,513
237_19,2017-07-01 07:11:35.757327,2017-07-01 07:14:13.937829,432,301
e_3440_0,2017-07-01 07:11:37.954729,2017-07-01 07:16:10.881970,3440,274
e_358_1,2017-07-01 07:11:41.040014,2017-07-01 07:14:44.270343,358,284
3343_11,2017-07-01 07:11:45.074088,2017-07-01 07:35:25.366751,3343,305
439_14,2017-07-01 07:11:57.373445,2017-07-01 07:22:27.776255,439,320
3402_11,2017-07-01 07:12:03.405287,2017-07-01 07:37:41.476734,3402,387
497_27,2017-07-01 07:12:07.914708,2017-07-01 07:22:14.777553,497,462
