bike_return_full,ebike_return_full,three_trip_error,demandlost
735,469,79,503
922,528,138,420
436,422,41,455
771,484,102,426
542,439,37,477
656,470,99,414
564,509,76,435
741,423,90,572
963,416,147,461
735,539,111,439
697,417,89,441
719,618,119,351
664,543,87,473
720,532,125,496
524,422,83,485
656,435,79,477
724,562,108,500
762,385,86,486
647,477,79,387
700,353,55,585
637,436,70,598
765,501,101,548
452,505,44,430
429,412,19,625
621,479,73,439
867,546,150,513
788,482,110,564
655,509,83,561
773,436,105,560
710,556,122,594
744,372,94,482
613,403,54,575
661,384,63,541
692,481,94,405
722,579,104,370
1078,546,182,478
414,479,57,384
565,461,81,547
700,483,91,553
543,465,70,479
724,471,111,398
898,384,104,568
757,466,90,517
924,557,145,493
394,482,61,504
540,616,97,525
629,477,65,435
867,487,137,535
767,446,115,531
642,514,105,500
