bike,start_time,end_time,start_st,end_st
e_362_2,2017-07-01 14:29:35.570785,2017-07-01 14:31:27.044957,525,3441
e_394_0,2017-07-01 14:44:41.476045,2017-07-01 14:46:31.545867,525,3441
e_540_0,2017-07-01 15:03:22.851265,2017-07-01 15:04:39.378162,525,3441
e_3135_0,2017-07-01 16:29:32.109256,2017-07-01 16:31:42.690814,525,3441
e_3163_1,2017-07-01 19:05:14.543251,2017-07-01 19:06:52.837827,284,3224
e_428_0,2017-07-01 20:50:38.603246,2017-07-01 20:51:57.148483,3224,284
e_3339_0,2017-07-01 20:52:09.160085,2017-07-01 20:53:39.565790,3224,284
e_492_2,2017-07-01 20:53:54.816046,2017-07-01 20:55:41.238411,284,3224
459_11,2017-07-01 22:27:36.055311,2017-07-01 22:29:28.650138,284,3224
3131_11,2017-07-01 22:41:30.439398,2017-07-01 22:43:38.913280,284,3224
e_268_0,2017-07-01 23:29:04.741986,2017-07-01 23:29:57.826361,491,537
e_516_0,2017-07-01 23:37:16.814202,2017-07-01 23:38:51.660536,491,537
e_3320_1,2017-07-01 23:40:34.037082,2017-07-01 23:42:02.715047,537,491
e_488_0,2017-07-01 23:58:57.742380,2017-07-02 00:00:29.408447,494,3259
e_407_1,2017-07-02 00:11:59.568139,2017-07-02 00:14:53.331178,494,3259
e_2010_1,2017-07-02 00:16:09.109085,2017-07-02 00:17:44.719765,3259,494
315_10,2017-07-02 00:39:25.001119,2017-07-02 00:42:15.525620,284,3224
116_7,2017-07-02 01:01:24.978192,2017-07-02 01:03:18.185280,3224,284
3457_19,2017-07-02 01:02:14.407170,2017-07-02 01:03:47.444040,3224,284
e_237_0,2017-07-02 01:22:33.845115,2017-07-02 01:23:32.910110,546,540
498_10,2017-07-02 01:49:18.518073,2017-07-02 01:50:44.658709,3224,284
3317_10,2017-07-02 01:56:25.758764,2017-07-02 01:58:18.892367,284,3224
265_16,2017-07-02 02:13:35.367369,2017-07-02 02:14:45.447652,3224,284
368_1,2017-07-02 02:23:19.044443,2017-07-02 02:25:01.773277,3224,284
e_3297_0,2017-07-02 02:38:26.695267,2017-07-02 02:39:30.117168,491,537
e_327_1,2017-07-02 03:25:06.206256,2017-07-02 03:26:58.162414,540,546
e_3435_1,2017-07-02 03:29:39.423276,2017-07-02 03:30:25.880583,546,540
e_349_0,2017-07-02 03:30:58.272637,2017-07-02 03:32:09.835598,491,537
e_422_1,2017-07-02 03:35:05.073350,2017-07-02 03:37:07.594368,537,491
e_388_0,2017-07-02 04:07:30.972414,2017-07-02 04:09:09.179632,537,491
3255_8,2017-07-02 04:12:55.413737,2017-07-02 04:15:53.993291,284,3224
e_444_0,2017-07-02 04:41:49.353087,2017-07-02 04:42:56.143709,3259,494
e_2006_1,2017-07-02 04:57:44.827131,2017-07-02 04:59:37.276913,494,3259
236_17,2017-07-02 05:29:43.456648,2017-07-02 05:32:14.568364,284,3224
e_3464_1,2017-07-02 05:34:05.256162,2017-07-02 05:35:08.298715,3259,494
e_2021_0,2017-07-02 05:41:04.699519,2017-07-02 05:43:01.883135,3259,494
446_11,2017-07-02 05:46:26.108049,2017-07-02 05:47:33.974571,3224,284
e_519_1,2017-07-02 05:57:36.131372,2017-07-02 05:59:36.216549,494,3259
459_21,2017-07-02 06:03:44.262453,2017-07-02 06:06:17.359034,284,3224
e_3167_2,2017-07-02 06:06:44.256678,2017-07-02 06:10:49.273786,494,3259
3263_8,2017-07-02 06:18:38.112410,2017-07-02 06:20:42.182591,284,3224
3236_10,2017-07-02 06:19:40.790928,2017-07-02 06:23:04.423641,3224,284
3151_15,2017-07-02 06:30:11.236656,2017-07-02 06:31:44.503191,3224,284
346_12,2017-07-02 06:34:40.639924,2017-07-02 06:37:21.823964,284,3224
