bike_return_full,ebike_return_full,three_trip_error,demandlost
575,477,98,544
715,528,120,541
735,409,87,424
726,429,113,519
416,440,38,374
827,528,121,383
517,464,58,463
597,522,79,402
610,509,65,342
685,536,116,448
593,508,78,475
687,469,87,553
636,395,73,484
655,462,65,518
680,461,91,528
693,581,126,484
660,444,58,545
742,504,83,535
724,444,91,493
782,368,87,509
649,548,124,393
655,393,89,571
787,454,108,367
664,414,102,636
485,455,49,496
352,401,20,545
985,517,147,425
617,450,64,512
499,534,76,549
623,460,92,529
