bike,start_time,end_time,start_st,end_st
e_3529_0,2017-07-01 08:58:11.444535,2017-07-01 08:59:28.771810,228,522
e_3370_0,2017-07-01 08:58:20.663851,2017-07-01 09:00:13.799383,228,3462
e_3285_1,2017-07-01 08:58:37.855233,2017-07-01 09:00:31.221796,228,3462
3390_6,2017-07-01 09:25:24.471103,2017-07-01 09:28:18.262690,3223,441
423_10,2017-07-01 09:29:09.135941,2017-07-01 09:33:23.669959,441,385
e_3244_0,2017-07-01 09:34:00.511489,2017-07-01 09:35:38.983976,3462,516
308_11,2017-07-01 09:40:30.498783,2017-07-01 09:42:17.228373,522,359
3101_13,2017-07-01 09:40:34.860088,2017-07-01 09:43:03.038774,522,359
3367_18,2017-07-01 09:42:46.426953,2017-07-01 09:48:40.620002,359,228
3391_6,2017-07-01 09:58:56.455803,2017-07-01 10:03:13.192268,522,164
490_1,2017-07-01 10:04:40.934023,2017-07-01 10:06:43.838292,3223,385
2003_13,2017-07-01 10:06:21.556053,2017-07-01 10:09:47.716055,3223,456
3145_20,2017-07-01 10:12:56.245274,2017-07-01 10:15:13.404989,3458,500
293_25,2017-07-01 10:16:08.560469,2017-07-01 10:18:16.584026,500,173
325_13,2017-07-01 10:17:22.262183,2017-07-01 10:19:19.857747,500,173
3314_11,2017-07-01 10:24:05.465201,2017-07-01 10:27:13.061479,3223,305
350_9,2017-07-01 10:29:34.807011,2017-07-01 10:31:45.249598,485,526
357_7,2017-07-01 10:29:25.467003,2017-07-01 10:32:05.103862,485,526
3263_6,2017-07-01 10:30:12.110609,2017-07-01 10:32:14.208558,485,526
507_14,2017-07-01 10:58:48.319044,2017-07-01 11:02:59.211696,3680,484
3338_15,2017-07-01 10:59:33.747382,2017-07-01 11:03:18.068209,3680,484
383_3,2017-07-01 11:02:18.682446,2017-07-01 11:05:16.831093,359,456
311_5,2017-07-01 11:24:00.286543,2017-07-01 11:27:13.160008,3459,385
3238_13,2017-07-01 11:30:53.247286,2017-07-01 11:33:55.784724,3235,485
450_28,2017-07-01 14:02:08.639100,2017-07-01 14:04:42.588570,3466,484
241_6,2017-07-01 14:44:07.480344,2017-07-01 14:47:48.023539,517,519
3055_11,2017-07-01 14:57:59.680723,2017-07-01 15:00:54.171077,335,3244
e_3144_1,2017-07-01 16:22:21.770634,2017-07-01 16:24:52.524042,3255,3259
461_8,2017-07-01 16:58:24.355147,2017-07-01 17:00:36.358867,492,498
3049_0,2017-07-01 16:58:28.304960,2017-07-01 17:01:04.313581,3255,523
3331_4,2017-07-01 18:21:27.194502,2017-07-01 18:26:13.708095,3259,509
3101_5,2017-07-01 18:53:47.142914,2017-07-01 18:59:32.527141,3093,3090
444_11,2017-07-01 19:15:10.747055,2017-07-01 19:19:20.972238,2002,539
3126_6,2017-07-01 19:18:57.962852,2017-07-01 19:20:47.207954,539,3093
251_9,2017-07-02 10:26:32.269891,2017-07-02 10:28:28.614166,253,280
2010_19,2017-07-02 13:26:51.207801,2017-07-02 13:29:49.119822,3093,2002
332_11,2017-07-02 16:51:17.870150,2017-07-02 16:54:52.724837,3427,229
3182_16,2017-07-03 13:10:24.062034,2017-07-03 13:12:48.514748,418,430
3374_5,2017-07-03 16:21:33.041389,2017-07-03 16:24:34.988582,2000,321
3427_3,2017-07-03 17:23:30.951269,2017-07-03 17:26:26.349438,363,304
150_12,2017-07-03 17:23:18.988202,2017-07-03 17:26:34.068493,363,304
480_2,2017-07-04 08:27:34.603429,2017-07-04 08:29:47.131587,360,306
3455_7,2017-07-04 08:30:07.732278,2017-07-04 08:33:34.352820,306,279
167_2,2017-07-04 08:30:43.509324,2017-07-04 08:34:15.482295,306,279
285_13,2017-07-04 09:04:39.338852,2017-07-04 09:07:08.094917,319,195
3164_24,2017-07-04 09:06:47.200708,2017-07-04 09:08:13.869787,195,319
394_8,2017-07-04 09:07:34.874226,2017-07-04 09:09:17.233230,195,319
3402_9,2017-07-04 09:07:55.606301,2017-07-04 09:11:31.051606,195,319
418_11,2017-07-04 09:09:12.203395,2017-07-04 09:13:32.829308,257,355
385_4,2017-07-04 09:14:36.893490,2017-07-04 09:16:09.694545,376,360
3056_11,2017-07-04 09:13:57.429708,2017-07-04 09:16:19.770593,363,2008
146_15,2017-07-04 09:14:44.203649,2017-07-04 09:16:24.490183,376,360
470_4,2017-07-04 09:15:35.493372,2017-07-04 09:17:15.726822,376,360
3328_9,2017-07-04 09:16:18.597307,2017-07-04 09:18:13.119367,360,316
517_12,2017-07-04 09:15:52.039857,2017-07-04 09:18:23.221985,360,316
361_14,2017-07-04 09:16:42.346165,2017-07-04 09:19:12.246543,360,316
259_10,2017-07-04 09:19:45.155395,2017-07-04 09:22:36.443240,316,360
440_6,2017-07-04 09:21:51.495134,2017-07-04 09:24:04.896429,363,2008
3167_18,2017-07-04 09:23:25.908713,2017-07-04 09:27:02.417223,360,330
3383_11,2017-07-04 09:23:43.240816,2017-07-04 09:29:59.431349,195,152
229_8,2017-07-04 09:26:29.538521,2017-07-04 09:31:43.122565,360,315
315_11,2017-07-04 09:26:30.265888,2017-07-04 09:33:13.545543,304,315
